good morning	0.0 0.0
hello	0.0
hello hello what can i help you with today can you book can you book a table for eight people in seoul sorry madrid with indian food	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0
hello hello what can i help you with today can you book can you book a table for eight people in seoul sorry madrid with indian food i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hello hello what can i help you with today can you book can you book a table for eight people in seoul sorry madrid with indian food i'm on it <SILENCE> which price range are looking for in a in a expensive price range sorry in a moderate price range please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0
hello hello what can i help you with today can you book can you book a table for eight people in seoul sorry madrid with indian food i'm on it <SILENCE> which price range are looking for in a in a expensive price range sorry in a moderate price range please ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hello hello	0.0 1.0
hello hello hello what can i help you with today i'd i'd like to book a table in london in a moderate price range no sorry in a cheap price range	0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0
hello hello hello what can i help you with today i'd i'd like to book a table in london in a moderate price range no sorry in a cheap price range i'm on it <SILENCE>	0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hello hello hello what can i help you with today i'd i'd like to book a table in london in a moderate price range no sorry in a cheap price range i'm on it <SILENCE> any preference on a type of cuisine i love i love uhm spanish food	0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 1.0 0.0 0.0
hello hello hello what can i help you with today i'd i'd like to book a table in london in a moderate price range no sorry in a cheap price range i'm on it <SILENCE> any preference on a type of cuisine i love i love uhm spanish food how many people would be in your party for eight no four please	0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 0.0 0.0
hello hello hello what can i help you with today i'd i'd like to book a table in london in a moderate price range no sorry in a cheap price range i'm on it <SILENCE> any preference on a type of cuisine i love i love uhm spanish food how many people would be in your party for eight no four please ok let me look into some options for you <SILENCE>	0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi	0.0
hi hello what can i help you with today can you make a restaurant reservation	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0
hi hello what can i help you with today can you make a restaurant reservation i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi hello what can i help you with today can you make a restaurant reservation i'm on it <SILENCE> any preference on a type of cuisine with british cuisine	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0
hi hello what can i help you with today can you make a restaurant reservation i'm on it <SILENCE> any preference on a type of cuisine with british cuisine where should it be in madrid	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0
hi hello what can i help you with today can you make a restaurant reservation i'm on it <SILENCE> any preference on a type of cuisine with british cuisine where should it be in madrid how many people would be in your party we will be eight no four	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 0.0
hi hello what can i help you with today can you make a restaurant reservation i'm on it <SILENCE> any preference on a type of cuisine with british cuisine where should it be in madrid how many people would be in your party we will be eight no four which price range are looking for i am i am looking for a moderate restaurant	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0
hi hello what can i help you with today can you make a restaurant reservation i'm on it <SILENCE> any preference on a type of cuisine with british cuisine where should it be in madrid how many people would be in your party we will be eight no four which price range are looking for i am i am looking for a moderate restaurant ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi	0.0
hi hello what can i help you with today can can you book a table with spanish cuisine	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
hi hello what can i help you with today can can you book a table with spanish cuisine i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi hello what can i help you with today can can you book a table with spanish cuisine i'm on it <SILENCE> where should it be rome sorry paris please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  1.0 1.0 0.0 0.0
hi hello what can i help you with today can can you book a table with spanish cuisine i'm on it <SILENCE> where should it be rome sorry paris please how many people would be in your party for for four uhm sorry six people please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0
hi hello what can i help you with today can can you book a table with spanish cuisine i'm on it <SILENCE> where should it be rome sorry paris please how many people would be in your party for for four uhm sorry six people please which price range are looking for i sorry yeah i am looking for a cheap restaurant	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
hi hello what can i help you with today can can you book a table with spanish cuisine i'm on it <SILENCE> where should it be rome sorry paris please how many people would be in your party for for four uhm sorry six people please which price range are looking for i sorry yeah i am looking for a cheap restaurant ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi	0.0
hi hello what can i help you with today i'd i'd like to book a table with french cuisine in a expensive uhm sorry moderate price range for four	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0
hi hello what can i help you with today i'd i'd like to book a table with french cuisine in a expensive uhm sorry moderate price range for four i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi hello what can i help you with today i'd i'd like to book a table with french cuisine in a expensive uhm sorry moderate price range for four i'm on it <SILENCE> where should it be rome please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  0.0 0.0
hi hello what can i help you with today i'd i'd like to book a table with french cuisine in a expensive uhm sorry moderate price range for four i'm on it <SILENCE> where should it be rome please ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi	0.0
hi hello what can i help you with today can you can you book a table	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0
hi hello what can i help you with today can you can you book a table i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi hello what can i help you with today can you can you book a table i'm on it <SILENCE> any preference on a type of cuisine with french cuisine with french cuisine	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0
hi hello what can i help you with today can you can you book a table i'm on it <SILENCE> any preference on a type of cuisine with french cuisine with french cuisine where should it be in in rome	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0
hi hello what can i help you with today can you can you book a table i'm on it <SILENCE> any preference on a type of cuisine with french cuisine with french cuisine where should it be in in rome how many people would be in your party we will we will be six no four	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 1.0 1.0 0.0
hi hello what can i help you with today can you can you book a table i'm on it <SILENCE> any preference on a type of cuisine with french cuisine with french cuisine where should it be in in rome how many people would be in your party we will we will be six no four which price range are looking for in a cheap oh no moderate price in a moderate price range please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0
hi hello what can i help you with today can you can you book a table i'm on it <SILENCE> any preference on a type of cuisine with french cuisine with french cuisine where should it be in in rome how many people would be in your party we will we will be six no four which price range are looking for in a cheap oh no moderate price in a moderate price range please ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hello	0.0
hello hello what can i help you with today can uhm yeah can you make a restaurant reservation in a expensive price range for two people oh no for four people	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0
hello hello what can i help you with today can uhm yeah can you make a restaurant reservation in a expensive price range for two people oh no for four people i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0
hello hello what can i help you with today can uhm yeah can you make a restaurant reservation in a expensive price range for two people oh no for four people i'm on it <SILENCE> any preference on a type of cuisine with spanish cuisine with spanish cuisine	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0
hello hello what can i help you with today can uhm yeah can you make a restaurant reservation in a expensive price range for two people oh no for four people i'm on it <SILENCE> any preference on a type of cuisine with spanish cuisine with spanish cuisine where should it be rome rome please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0
hello hello what can i help you with today can uhm yeah can you make a restaurant reservation in a expensive price range for two people oh no for four people i'm on it <SILENCE> any preference on a type of cuisine with spanish cuisine with spanish cuisine where should it be rome rome please ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi	0.0
hi hello what can i help you with today can can you make a restaurant reservation in a expensive sorry moderate price range for four people oh no for eight people	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0
hi hello what can i help you with today can can you make a restaurant reservation in a expensive sorry moderate price range for four people oh no for eight people i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0
hi hello what can i help you with today can can you make a restaurant reservation in a expensive sorry moderate price range for four people oh no for eight people i'm on it <SILENCE> any preference on a type of cuisine with british food	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0
hi hello what can i help you with today can can you make a restaurant reservation in a expensive sorry moderate price range for four people oh no for eight people i'm on it <SILENCE> any preference on a type of cuisine with british food where should it be seoul sorry london please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.0 1.0 0.0 0.0
hi hello what can i help you with today can can you make a restaurant reservation in a expensive sorry moderate price range for four people oh no for eight people i'm on it <SILENCE> any preference on a type of cuisine with british food where should it be seoul sorry london please ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0  1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
good morning	0.0 0.0
good morning hello what can i help you with today can you make a can you make a restaurant reservation in paris for eight people in a expensive price range with british food	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
good morning hello what can i help you with today can you make a can you make a restaurant reservation in paris for eight people in a expensive price range with british food i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
good morning hello what can i help you with today can you make a can you make a restaurant reservation in paris for eight people in a expensive price range with british food i'm on it <SILENCE> ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
good morning	0.0 0.0
good morning hello what can i help you with today may i have uhm yeah may i have a table in a cheap price range for two no sorry for four in bombay	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0
good morning hello what can i help you with today may i have uhm yeah may i have a table in a cheap price range for two no sorry for four in bombay i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
good morning hello what can i help you with today may i have uhm yeah may i have a table in a cheap price range for two no sorry for four in bombay i'm on it <SILENCE> any preference on a type of cuisine with with italian food	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0
good morning hello what can i help you with today may i have uhm yeah may i have a table in a cheap price range for two no sorry for four in bombay i'm on it <SILENCE> any preference on a type of cuisine with with italian food ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
good morning	0.0 0.0
good morning hello what can i help you with today can you make a restaurant reservation with indian can you make a restaurant reservation with indian cuisine for six people no for two people in a moderate price range no in a expensive price range	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0
good morning hello what can i help you with today can you make a restaurant reservation with indian can you make a restaurant reservation with indian cuisine for six people no for two people in a moderate price range no in a expensive price range i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
good morning hello what can i help you with today can you make a restaurant reservation with indian can you make a restaurant reservation with indian cuisine for six people no for two people in a moderate price range no in a expensive price range i'm on it <SILENCE> where should it be london please	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  0.0 0.0
good morning hello what can i help you with today can you make a restaurant reservation with indian can you make a restaurant reservation with indian cuisine for six people no for two people in a moderate price range no in a expensive price range i'm on it <SILENCE> where should it be london please ok let me look into some options for you <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
hi	0.0
hi hello what can i help you with today i'd like to book a table with thai food no with italian food in a i'd like to book a table with italian food in a well moderate price range	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0
hi hello what can i help you with today i'd like to book a table with thai food no with italian food in a i'd like to book a table with italian food in a well moderate price range i'm on it <SILENCE>	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0  0.0
